Record_ID,Date,Region,Office,User_ID,Role,Tenure_Months,Project_ID,Industry,Asset_ID,Asset_Type,Pillar,Action,AI_Recommended,Network_Stable,Time_to_Find_Min,Duplicate_Upload_Flag,Tags_Quality_Score,Content_Age_Months,Outdated_Content_Flag,GDPR_Flag,Contribution_Points,Onboarding_Time_Weeks,Post_DKN_Flag
18,16/04/2022,North America,Austin,U0080,Senior Consultant,12,P048,Logistics,A0146,Best Practice,Personalisation,tag_fix,0,1,,,69,0,0,0,4,,
19,16/01/2024,North America,Austin,U0051,Knowledge Champion,11,P026,Smart Manufacturing,A0187,Framework,Collaboration,view,1,1,4,,,13,0,0,1,,
20,21/08/2022,North America,Toronto,U0024,Junior Consultant,4,P026,Smart Manufacturing,A0148,Framework,Personalisation,tag_fix,0,1,,,55,0,0,0,4,,
21,31/01/2022,Europe,Copenhagen,U0014,Manager,6,P036,Renewable Energy,A0037,Framework,Collaboration,view,0,1,22,,,0,0,0,1,,
22,30/01/2024,Asia,Bangalore,U0130,Junior Consultant,16,P011,Renewable Energy,A0038,Framework,Centralisation,view,1,1,10,,,9,0,0,1,,
23,25/02/2024,Asia,Singapore,U0126,Consultant,15,P049,Logistics,A0207,Framework,Collaboration,validate,0,1,,,83,13,0,0,5,,
24,31/03/2022,Asia,Jakarta,U0124,Junior Consultant,19,P021,Renewable Energy,A0014,Training Material,Personalisation,view,0,1,26,,,0,0,0,1,,
25,25/11/2022,North America,Toronto,U0057,Consultant,36,P040,Smart Manufacturing,A0104,Code Snippet,Centralisation,view,0,1,21,,,0,0,0,1,,
26,27/03/2022,South America,São Paulo,U0103,Consultant,4,P034,Logistics,A0041,Template,Centralisation,view,0,1,19,,,0,0,0,1,,
27,30/01/2023,Europe,London,U0011,Consultant,40,P057,Smart Manufacturing,A0144,Best Practice,Collaboration,tag_fix,0,1,,,54,0,0,0,4,,
28,26/10/2023,North America,Vancouver,U0031,Senior Consultant,16,P025,Renewable Energy,A0154,Code Snippet,Collaboration,view,0,1,19,,,0,0,0,1,,
29,24/09/2023,Southeast Asia,Manila,U0064,Junior Consultant,13,P028,Logistics,A0100,Client Deliverable,Personalisation,view,1,1,14,,,16,0,0,1,,
30,29/09/2024,North America,Austin,U0120,Senior Consultant,22,P016,Logistics,A0115,Template,Collaboration,validate,0,1,,,78,0,0,0,5,,
31,30/03/2024,North America,Vancouver,U0028,Consultant,19,P005,Logistics,A0033,Training Material,Centralisation,view,0,1,8,,,21,1,0,1,,
32,25/03/2022,Europe,London,U0011,Consultant,40,P041,Smart Manufacturing,A0034,Training Material,Collaboration,upload,0,1,,0,56,0,0,1,8,,
33,29/10/2024,North America,Vancouver,U0097,Consultant,28,P042,Logistics,A0201,Code Snippet,Collaboration,upload,0,0,,0,63,28,1,0,8,,
34,04/10/2024,Europe,Copenhagen,U0074,Consultant,19,P052,Logistics,A0204,Client Deliverable,Collaboration,upload,1,0,,0,58,20,1,0,8,,
35,22/11/2022,North America,New York,U0083,Junior Consultant,17,P058,Logistics,A0158,Code Snippet,Collaboration,view,0,1,19,,,0,0,0,1,,
36,10/09/2024,Asia,Bangalore,U0054,Consultant,12,P038,Renewable Energy,A0068,Template,Centralisation,view,1,1,1,,,24,1,0,1,,
37,06/04/2024,North America,Toronto,U0042,Junior Consultant,25,P041,Smart Manufacturing,A0072,Training Material,Collaboration,view,0,1,10,,,0,0,0,1,,
38,24/08/2022,Europe,London,U0136,Consultant,12,P004,Logistics,A0163,Training Material,Collaboration,tag_fix,0,1,,,54,0,0,0,4,,
39,03/12/2024,North America,Austin,U0027,Consultant,18,P017,Renewable Energy,A0138,Client Deliverable,Centralisation,view,1,1,7,,,22,1,0,1,,
40,26/01/2024,Europe,Copenhagen,U0038,Junior Consultant,7,P024,Renewable Energy,A0085,Best Practice,Personalisation,validate,0,1,,,71,17,0,0,5,,
41,09/04/2022,Europe,Copenhagen,U0076,Consultant,6,P053,Renewable Energy,A0133,Client Deliverable,Personalisation,view,0,0,25,,,0,0,0,1,,
42,03/10/2023,Asia,Jakarta,U0001,Consultant,40,P048,Logistics,A0009,Code Snippet,Centralisation,view,0,1,21,,,2,0,0,1,,
43,16/01/2024,Europe,Berlin,U0013,Junior Consultant,16,P009,Smart Manufacturing,A0126,Template,Collaboration,view,1,1,13,,,19,1,0,1,,
44,28/12/2023,North America,Vancouver,U0078,Junior Consultant,22,P007,Smart Manufacturing,A0134,Client Deliverable,Centralisation,view,0,1,15,,,1,0,0,1,,
45,23/02/2023,Asia,Singapore,U0094,Senior Consultant,8,P040,Smart Manufacturing,A0213,Training Material,Centralisation,view,1,0,12,,,0,0,0,1,,
46,02/11/2022,Europe,London,U0116,Consultant,20,P007,Smart Manufacturing,A0017,Training Material,Collaboration,view,0,1,23,,,0,0,0,1,,
47,26/06/2023,Asia,Singapore,U0003,Consultant,10,P004,Logistics,A0166,Template,Collaboration,validate,0,1,,,68,0,0,0,5,,
48,26/11/2024,North America,Austin,U0127,Knowledge Champion,14,P016,Logistics,A0043,Code Snippet,Centralisation,comment,1,1,,,,7,0,0,2,,
49,02/05/2023,Europe,Madrid,U0041,Junior Consultant,20,P004,Logistics,A0200,Template,Personalisation,upload,1,1,,0,66,0,0,0,8,,
50,04/11/2024,South America,Buenos Aires,U0107,Senior Consultant,10,P053,Renewable Energy,A0157,Framework,Centralisation,upload,1,1,,0,79,1,0,0,8,,
51,14/01/2022,North America,Vancouver,U0097,Consultant,28,P055,Renewable Energy,A0112,Template,Personalisation,validate,0,1,,,55,0,0,0,5,,
52,15/07/2024,Asia,Tokyo,U0045,Manager,21,P015,Renewable Energy,A0027,Best Practice,Personalisation,view,0,1,21,,,8,0,0,1,,
53,24/06/2023,Europe,Copenhagen,U0014,Manager,6,P018,Logistics,A0163,Training Material,Personalisation,view,0,1,13,,,3,0,0,1,,
54,28/06/2023,Europe,Copenhagen,U0076,Consultant,6,P042,Logistics,A0056,Code Snippet,Personalisation,upload,0,1,,0,87,0,0,1,8,,
55,23/11/2022,Asia,Jakarta,U0084,Senior Consultant,4,P013,Logistics,A0100,Client Deliverable,Centralisation,view,0,1,19,,,6,0,0,1,,
56,19/08/2024,North America,Toronto,U0121,Consultant,12,P054,Logistics,A0136,Best Practice,Collaboration,view,0,1,15,,,7,0,0,1,,
57,23/09/2023,Europe,Berlin,U0055,Consultant,21,P026,Smart Manufacturing,A0160,Code Snippet,Personalisation,view,1,1,12,,,11,0,0,1,,
58,18/08/2022,North America,Vancouver,U0028,Consultant,19,P040,Smart Manufacturing,A0042,Framework,Centralisation,view,1,1,23,,,6,0,0,1,,
59,29/03/2022,Europe,Copenhagen,U0018,Consultant,23,P048,Logistics,A0012,Training Material,Personalisation,upload,0,1,,0,49,0,0,0,8,,
60,16/05/2022,North America,Toronto,U0099,Manager,23,P007,Smart Manufacturing,A0064,Framework,Centralisation,view,0,1,17,,,0,0,0,1,,
61,29/06/2022,Europe,Copenhagen,U0074,Consultant,19,P031,Logistics,A0026,Best Practice,Collaboration,upload,0,1,,0,30,0,0,1,8,,
62,19/06/2023,Europe,Copenhagen,U0006,Senior Consultant,24,P023,Renewable Energy,A0066,Training Material,Centralisation,comment,0,1,,,,0,0,0,2,,
63,28/10/2024,North America,Austin,U0122,Manager,11,P055,Renewable Energy,A0074,Client Deliverable,Centralisation,view,1,1,7,,,29,1,0,1,,
64,21/07/2022,North America,Toronto,U0089,Manager,9,P031,Logistics,A0181,Template,Personalisation,upload,0,1,,0,57,4,0,0,8,,
65,12/08/2023,North America,Toronto,U0044,Manager,4,P028,Logistics,A0001,Best Practice,Centralisation,view,1,1,11,,,0,0,0,1,,
66,14/12/2023,Asia,Singapore,U0126,Consultant,15,P007,Smart Manufacturing,A0126,Template,Collaboration,view,0,0,22,,,18,1,0,1,,
67,21/11/2024,Asia,Jakarta,U0067,Manager,16,P037,Logistics,A0041,Template,Centralisation,view,0,1,14,,,21,1,0,1,,
68,14/08/2022,South America,São Paulo,U0021,Consultant,27,P032,Renewable Energy,A0202,Best Practice,Personalisation,comment,0,1,,,,4,0,0,2,,
69,14/07/2022,South America,São Paulo,U0103,Consultant,4,P060,Smart Manufacturing,A0102,Code Snippet,Collaboration,tag_fix,0,1,,,68,0,0,0,4,,
70,21/02/2022,Europe,Madrid,U0096,Consultant,16,P014,Smart Manufacturing,A0078,Code Snippet,Collaboration,view,0,1,16,,,0,0,0,1,,
71,24/04/2023,North America,Austin,U0118,Junior Consultant,8,P009,Smart Manufacturing,A0137,Framework,Collaboration,view,1,1,11,,,0,0,0,1,,
72,01/11/2023,Europe,London,U0134,Junior Consultant,21,P010,Smart Manufacturing,A0216,Training Material,Personalisation,view,0,1,10,,,0,0,0,1,,
73,11/06/2023,Southeast Asia,Manila,U0060,Consultant,12,P009,Smart Manufacturing,A0086,Training Material,Collaboration,view,1,0,27,,,0,0,0,1,,
74,10/09/2023,Asia,Tokyo,U0040,Senior Consultant,36,P047,Renewable Energy,A0040,Training Material,Collaboration,comment,1,1,,,,2,0,0,2,,
75,29/04/2023,Asia,Jakarta,U0084,Senior Consultant,4,P013,Logistics,A0067,Code Snippet,Collaboration,comment,0,1,,,,14,0,0,2,,
76,28/07/2022,North America,Austin,U0051,Knowledge Champion,11,P025,Renewable Energy,A0039,Client Deliverable,Collaboration,comment,0,1,,,,0,0,0,2,,
77,06/02/2023,North America,Vancouver,U0028,Consultant,19,P041,Smart Manufacturing,A0028,Framework,Collaboration,view,1,1,14,,,0,0,0,1,,
78,13/06/2024,North America,Toronto,U0057,Consultant,36,P033,Logistics,A0162,Template,Centralisation,view,0,1,13,,,26,1,0,1,,
79,12/01/2022,Asia,Tokyo,U0063,Consultant,17,P059,Logistics,A0219,Best Practice,Personalisation,view,0,1,20,,,0,0,0,1,,
80,14/04/2023,North America,Vancouver,U0059,Senior Consultant,41,P044,Smart Manufacturing,A0047,Training Material,Personalisation,view,0,1,15,,,1,0,0,1,,
81,20/07/2022,Asia,Bangalore,U0108,Consultant,3,P016,Logistics,A0201,Code Snippet,Collaboration,view,0,1,25,,,0,0,0,1,,
82,15/09/2024,North America,New York,U0117,Senior Consultant,26,P002,Renewable Energy,A0160,Code Snippet,Personalisation,tag_fix,0,1,,,70,22,1,0,4,,
83,03/11/2023,Asia,Singapore,U0003,Consultant,10,P025,Renewable Energy,A0213,Training Material,Collaboration,view,0,1,8,,,5,0,0,1,,
84,26/11/2022,North America,Toronto,U0052,Senior Consultant,16,P034,Logistics,A0090,Best Practice,Personalisation,upload,0,1,,0,56,2,0,0,8,,
85,28/01/2024,Europe,London,U0134,Junior Consultant,21,P022,Logistics,A0106,Training Material,Personalisation,validate,0,0,,,93,10,0,0,5,,
86,08/09/2022,South America,Buenos Aires,U0092,Senior Consultant,22,P041,Smart Manufacturing,A0015,Client Deliverable,Centralisation,view,1,1,14,,,0,0,0,1,,
87,11/05/2024,Europe,London,U0091,Junior Consultant,43,P038,Renewable Energy,A0068,Template,Centralisation,upload,0,1,,0,60,20,1,0,8,,
88,13/03/2024,Asia,Bangalore,U0119,Consultant,14,P014,Smart Manufacturing,A0043,Code Snippet,Collaboration,upload,0,1,,0,70,0,0,0,8,,
89,08/04/2023,Europe,Copenhagen,U0038,Junior Consultant,7,P023,Renewable Energy,A0171,Framework,Collaboration,view,0,1,13,,,0,0,0,1,,
90,26/08/2023,Asia,Jakarta,U0033,Consultant,13,P050,Renewable Energy,A0214,Framework,Collaboration,view,0,1,10,,,0,0,0,1,,
91,04/06/2023,Europe,Copenhagen,U0110,Junior Consultant,4,P044,Smart Manufacturing,A0048,Framework,Collaboration,view,1,1,9,,,0,0,0,1,,
92,11/09/2023,North America,New York,U0083,Junior Consultant,17,P031,Logistics,A0125,Framework,Personalisation,view,0,1,10,,,0,0,0,1,,
93,13/09/2023,North America,Toronto,U0099,Manager,23,P004,Logistics,A0022,Training Material,Collaboration,validate,0,1,,,80,6,0,0,5,,
94,31/01/2022,Asia,Singapore,U0003,Consultant,10,P014,Smart Manufacturing,A0019,Training Material,Centralisation,view,0,1,26,,,0,0,0,1,,
95,24/04/2023,Europe,Berlin,U0048,Consultant,34,P050,Renewable Energy,A0116,Code Snippet,Centralisation,view,0,1,16,,,0,0,0,1,,
96,10/12/2022,North America,Toronto,U0024,Junior Consultant,4,P043,Logistics,A0141,Template,Collaboration,validate,0,1,,,48,0,0,0,5,,
97,13/03/2023,Europe,London,U0136,Consultant,12,P006,Logistics,A0190,Template,Collaboration,tag_fix,0,1,,,34,9,0,0,4,,
98,31/08/2022,Asia,Tokyo,U0068,Junior Consultant,26,P027,Renewable Energy,A0060,Best Practice,Personalisation,validate,0,1,,,36,0,0,0,5,,
99,18/09/2024,North America,Austin,U0120,Senior Consultant,22,P058,Logistics,A0037,Framework,Centralisation,view,0,1,18,,,11,0,0,1,,
100,14/01/2022,North America,Toronto,U0042,Junior Consultant,25,P054,Logistics,A0083,Template,Personalisation,view,0,1,20,,,0,0,0,1,,
101,07/02/2024,Europe,Copenhagen,U0110,Junior Consultant,4,P027,Renewable Energy,A0174,Code Snippet,Personalisation,upload,1,1,,0,62,20,1,0,8,,
102,08/11/2023,Europe,Berlin,U0025,Knowledge Champion,20,P033,Logistics,A0124,Code Snippet,Collaboration,view,0,1,17,,,0,0,0,1,,
103,17/09/2022,Europe,Copenhagen,U0087,Consultant,5,P007,Smart Manufacturing,A0169,Framework,Personalisation,view,0,1,22,,,0,0,0,1,,
104,08/03/2023,Europe,Berlin,U0073,Junior Consultant,12,P028,Logistics,A0088,Client Deliverable,Personalisation,view,1,1,8,,,11,0,0,1,,
105,08/10/2024,Asia,Jakarta,U0104,Senior Consultant,14,P022,Logistics,A0129,Best Practice,Collaboration,comment,1,1,,,,4,0,0,2,,
106,05/10/2024,North America,Vancouver,U0031,Senior Consultant,16,P022,Logistics,A0050,Best Practice,Centralisation,view,0,1,18,,,10,0,0,1,,
107,24/03/2022,South America,São Paulo,U0103,Consultant,4,P047,Renewable Energy,A0142,Template,Personalisation,tag_fix,0,1,,,57,0,0,0,4,,
108,08/09/2023,North America,Vancouver,U0028,Consultant,19,P001,Smart Manufacturing,A0012,Training Material,Collaboration,view,0,1,23,,,2,0,0,1,,
109,22/10/2024,North America,New York,U0140,Senior Consultant,33,P040,Smart Manufacturing,A0097,Template,Personalisation,view,0,1,3,,,4,0,0,1,,
110,19/06/2022,Europe,Berlin,U0055,Consultant,21,P003,Renewable Energy,A0171,Framework,Personalisation,view,0,1,25,,,0,0,0,1,,
111,17/03/2022,Asia,Bangalore,U0108,Consultant,3,P050,Renewable Energy,A0026,Best Practice,Collaboration,comment,0,1,,,,0,0,0,2,,
112,26/09/2023,Asia,Jakarta,U0067,Manager,16,P056,Renewable Energy,A0078,Code Snippet,Centralisation,view,0,1,17,,,0,0,0,1,,
113,22/04/2022,Southeast Asia,Ho Chi Minh City,U0128,Consultant,8,P037,Logistics,A0134,Client Deliverable,Centralisation,upload,0,1,,0,54,0,0,0,8,,
114,03/07/2024,Europe,Copenhagen,U0018,Consultant,23,P001,Smart Manufacturing,A0175,Framework,Personalisation,view,0,0,22,,,19,1,0,1,,
115,31/08/2024,Asia,Jakarta,U0106,Senior Consultant,20,P036,Renewable Energy,A0027,Best Practice,Personalisation,upload,0,1,,0,79,9,0,1,8,,
116,07/09/2022,Europe,Madrid,U0023,Manager,5,P014,Smart Manufacturing,A0032,Training Material,Centralisation,upload,0,1,,1,55,0,0,0,8,,
117,19/01/2023,Europe,Berlin,U0013,Junior Consultant,16,P024,Renewable Energy,A0199,Client Deliverable,Collaboration,validate,0,1,,,38,0,0,0,5,,
118,22/06/2022,Europe,Copenhagen,U0076,Consultant,6,P041,Smart Manufacturing,A0143,Client Deliverable,Personalisation,view,0,0,29,,,0,0,0,1,,
119,18/04/2022,Asia,Bangalore,U0009,Consultant,23,P001,Smart Manufacturing,A0016,Framework,Collaboration,upload,0,1,,1,51,0,0,0,8,,
120,06/12/2022,North America,Toronto,U0125,Consultant,41,P039,Renewable Energy,A0016,Framework,Collaboration,view,0,1,21,,,0,0,0,1,,
121,07/12/2022,Europe,Copenhagen,U0038,Junior Consultant,7,P052,Logistics,A0030,Best Practice,Personalisation,view,0,1,23,,,1,0,0,1,,
122,29/02/2024,Europe,London,U0116,Consultant,20,P018,Logistics,A0201,Code Snippet,Centralisation,validate,0,1,,,82,20,1,0,5,,
123,12/11/2023,North America,Vancouver,U0004,Consultant,17,P054,Logistics,A0039,Client Deliverable,Centralisation,view,0,1,13,,,0,0,0,1,,
124,11/02/2024,North America,Toronto,U0100,Consultant,12,P044,Smart Manufacturing,A0097,Template,Collaboration,view,1,1,12,,,0,0,0,1,,
125,04/01/2022,North America,New York,U0083,Junior Consultant,17,P017,Renewable Energy,A0069,Framework,Personalisation,view,0,1,28,,,0,0,0,1,,
126,28/03/2022,Europe,Copenhagen,U0074,Consultant,19,P054,Logistics,A0037,Framework,Collaboration,validate,0,1,,,52,0,0,0,5,,
127,15/07/2023,Southeast Asia,Ho Chi Minh City,U0128,Consultant,8,P023,Renewable Energy,A0137,Framework,Personalisation,upload,1,1,,0,68,0,0,0,8,,
128,25/04/2023,North America,Austin,U0080,Senior Consultant,12,P039,Renewable Energy,A0015,Client Deliverable,Personalisation,view,1,1,4,,,0,0,0,1,,
129,20/01/2022,North America,Toronto,U0099,Manager,23,P030,Renewable Energy,A0139,Training Material,Collaboration,upload,0,1,,1,70,0,0,0,8,,
130,16/06/2023,Europe,London,U0134,Junior Consultant,21,P021,Renewable Energy,A0123,Framework,Centralisation,view,1,1,5,,,4,0,0,1,,
131,17/08/2023,Europe,Berlin,U0093,Knowledge Champion,31,P037,Logistics,A0145,Training Material,Collaboration,view,1,1,10,,,6,0,0,1,,
132,07/10/2024,Europe,Madrid,U0096,Consultant,16,P056,Renewable Energy,A0028,Framework,Personalisation,view,1,1,14,,,2,0,0,1,,
133,04/03/2022,North America,Toronto,U0089,Manager,9,P018,Logistics,A0133,Client Deliverable,Centralisation,view,0,1,26,,,0,0,0,1,,
134,22/09/2024,Europe,Berlin,U0055,Consultant,21,P017,Renewable Energy,A0200,Template,Centralisation,view,0,1,17,,,3,0,0,1,,
135,26/09/2022,Asia,Tokyo,U0066,Senior Consultant,9,P054,Logistics,A0010,Client Deliverable,Collaboration,view,1,1,20,,,0,0,0,1,,
136,13/03/2022,Asia,Jakarta,U0095,Knowledge Champion,10,P056,Renewable Energy,A0181,Template,Collaboration,view,1,1,20,,,0,0,0,1,,
137,24/03/2024,North America,Vancouver,U0031,Senior Consultant,16,P046,Logistics,A0024,Client Deliverable,Personalisation,view,0,1,8,,,0,0,0,1,,
138,03/11/2024,Southeast Asia,Manila,U0101,Senior Consultant,21,P012,Smart Manufacturing,A0115,Template,Centralisation,tag_fix,0,0,,,98,0,0,0,4,,
139,19/12/2022,North America,Vancouver,U0010,Junior Consultant,18,P017,Renewable Energy,A0091,Client Deliverable,Personalisation,upload,0,1,,0,53,0,0,0,8,,
140,17/11/2024,Asia,Jakarta,U0124,Junior Consultant,19,P004,Logistics,A0026,Best Practice,Collaboration,upload,0,0,,0,77,4,0,0,8,,
141,04/08/2022,North America,Toronto,U0121,Consultant,12,P021,Renewable Energy,A0096,Training Material,Centralisation,view,0,1,23,,,0,0,0,1,,
142,04/05/2023,North America,Toronto,U0037,Junior Consultant,14,P059,Logistics,A0174,Code Snippet,Personalisation,tag_fix,0,1,,,30,10,0,0,4,,
143,15/03/2022,Europe,Madrid,U0041,Junior Consultant,20,P060,Smart Manufacturing,A0214,Framework,Collaboration,view,0,1,16,,,0,0,0,1,,
144,14/10/2022,South America,São Paulo,U0115,Senior Consultant,6,P007,Smart Manufacturing,A0099,Best Practice,Personalisation,tag_fix,0,1,,,51,2,0,0,4,,
145,27/11/2023,North America,New York,U0083,Junior Consultant,17,P053,Renewable Energy,A0060,Best Practice,Personalisation,view,1,1,2,,,4,0,0,1,,
146,27/04/2022,North America,New York,U0047,Manager,14,P046,Logistics,A0116,Code Snippet,Centralisation,view,0,1,21,,,0,0,0,1,,
147,23/04/2024,Southeast Asia,Manila,U0064,Junior Consultant,13,P010,Smart Manufacturing,A0007,Template,Collaboration,view,1,1,7,,,0,0,0,1,,
148,02/10/2024,North America,Vancouver,U0028,Consultant,19,P021,Renewable Energy,A0117,Code Snippet,Centralisation,comment,1,0,,,,16,0,0,2,,
149,09/03/2023,Asia,Tokyo,U0123,Senior Consultant,17,P054,Logistics,A0074,Client Deliverable,Collaboration,upload,0,0,,0,38,9,0,0,8,,
150,03/05/2023,Europe,Berlin,U0025,Knowledge Champion,20,P025,Renewable Energy,A0075,Training Material,Centralisation,view,0,1,10,,,0,0,0,1,,
151,23/10/2022,Europe,Madrid,U0005,Junior Consultant,29,P029,Logistics,A0207,Framework,Personalisation,view,0,1,26,,,0,0,0,1,,
152,14/12/2024,Europe,Copenhagen,U0074,Consultant,19,P012,Smart Manufacturing,A0093,Template,Collaboration,view,0,1,12,,,15,0,0,1,,
153,10/10/2022,North America,New York,U0047,Manager,14,P034,Logistics,A0198,Client Deliverable,Centralisation,view,0,1,22,,,0,0,0,1,,
154,11/10/2024,Asia,Jakarta,U0071,Consultant,11,P012,Smart Manufacturing,A0053,Code Snippet,Collaboration,upload,1,1,,0,84,14,0,1,8,,
155,30/11/2024,North America,Toronto,U0105,Senior Consultant,31,P054,Logistics,A0185,Code Snippet,Personalisation,comment,1,1,,,,12,0,0,2,,
156,06/10/2024,North America,Toronto,U0024,Junior Consultant,4,P001,Smart Manufacturing,A0105,Template,Personalisation,comment,1,1,,,,15,0,0,2,,
157,17/01/2023,Asia,Singapore,U0094,Senior Consultant,8,P003,Renewable Energy,A0042,Framework,Personalisation,view,1,1,13,,,11,0,0,1,,
158,01/07/2024,North America,Vancouver,U0133,Knowledge Champion,12,P005,Logistics,A0031,Training Material,Centralisation,view,0,1,8,,,17,0,0,1,,
159,21/02/2024,Asia,Singapore,U0016,Junior Consultant,13,P019,Logistics,A0028,Framework,Personalisation,comment,0,1,,,,0,0,0,2,,
160,03/10/2022,Europe,Copenhagen,U0006,Senior Consultant,24,P016,Logistics,A0023,Best Practice,Centralisation,view,0,1,33,,,0,0,0,1,,
161,03/03/2022,Europe,Madrid,U0005,Junior Consultant,29,P007,Smart Manufacturing,A0179,Training Material,Centralisation,validate,0,1,,,65,0,0,0,5,,
162,08/08/2024,Europe,London,U0134,Junior Consultant,21,P016,Logistics,A0180,Template,Centralisation,view,1,1,10,,,0,0,0,1,,
163,14/07/2023,North America,Vancouver,U0032,Senior Consultant,32,P030,Renewable Energy,A0127,Code Snippet,Collaboration,view,1,1,12,,,1,0,0,1,,
164,08/10/2022,Europe,Madrid,U0139,Senior Consultant,17,P038,Renewable Energy,A0059,Best Practice,Centralisation,tag_fix,0,1,,,91,3,0,0,4,,
165,23/03/2024,Southeast Asia,Manila,U0043,Senior Consultant,15,P053,Renewable Energy,A0005,Best Practice,Centralisation,comment,0,1,,,,15,0,0,2,,
166,12/12/2024,North America,Vancouver,U0010,Junior Consultant,18,P026,Smart Manufacturing,A0014,Training Material,Centralisation,validate,0,1,,,76,19,1,0,5,,
167,19/10/2023,South America,São Paulo,U0103,Consultant,4,P055,Renewable Energy,A0144,Best Practice,Personalisation,upload,0,1,,0,56,0,0,0,8,,
168,24/01/2022,Asia,Singapore,U0094,Senior Consultant,8,P007,Smart Manufacturing,A0136,Best Practice,Centralisation,view,0,1,20,,,0,0,0,1,,
169,07/04/2023,Southeast Asia,Manila,U0036,Senior Consultant,9,P027,Renewable Energy,A0102,Code Snippet,Collaboration,validate,0,1,,,31,0,0,0,5,,
170,24/03/2022,Asia,Bangalore,U0009,Consultant,23,P056,Renewable Energy,A0165,Code Snippet,Collaboration,view,0,1,24,,,0,0,0,1,,
171,15/03/2022,Europe,Berlin,U0026,Manager,12,P017,Renewable Energy,A0032,Training Material,Personalisation,view,0,0,31,,,0,0,0,1,,
172,18/09/2023,North America,Toronto,U0089,Manager,9,P042,Logistics,A0043,Code Snippet,Personalisation,upload,0,0,,0,62,0,0,0,8,,
173,29/12/2024,Europe,Copenhagen,U0038,Junior Consultant,7,P029,Logistics,A0032,Training Material,Collaboration,view,0,1,8,,,19,1,0,1,,
174,16/07/2023,Asia,Tokyo,U0063,Consultant,17,P048,Logistics,A0023,Best Practice,Centralisation,validate,0,1,,,78,0,0,0,5,,
175,30/03/2023,North America,Toronto,U0099,Manager,23,P013,Logistics,A0141,Template,Personalisation,view,0,1,17,,,0,0,0,1,,
176,18/08/2024,North America,Austin,U0080,Senior Consultant,12,P002,Renewable Energy,A0063,Best Practice,Centralisation,view,0,1,15,,,4,0,0,1,,
177,22/03/2024,North America,Vancouver,U0004,Consultant,17,P060,Smart Manufacturing,A0091,Client Deliverable,Collaboration,upload,0,1,,0,82,11,0,0,8,,
